bioguide_id,first_name,last_name,full_name,date_of_birth,age,age_pretty,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,given_name,middle_name,family_name,nick_name,unaccented_given_name,unaccented_middle_name,unaccented_family_name,honorific_prefix,honorific_suffix,military_service,has_military_service,profile_birthplace,profile_education
H000601,Bill,Hagerty,Bill Hagerty,8/14/59,66,"66 years, 2 months",1/3/21,56,4.67,"4 years, 8 months",William,Francis,Hagerty,Bill,William,Francis,Hagerty,,,,,,"Gallatin, Tenn","graduated Madisonville North Hopkins High School, Madisonville, Ky., 1977; B.A., Vanderbilt University, 1981; J.D., Vanderbilt University, 1984",
H001098,Abraham,Hamadeh,Abraham Hamadeh,5/15/91,34,"34 years, 5 months",1/3/25,8,0.67,8 months,Abraham,,Hamadeh,,Abraham,,Hamadeh,,,,Army Reserve,Yes,"Chicago, Cook County, Ill","B.S., Arizona State University, Tempe, Ariz., 2012; J.D., James E. Rogers College of Law, University of Arizona, Tucson, Ariz., 2016",
H001090,Josh,Harder,Josh Harder,8/1/86,39,"39 years, 2 months",1/3/19,80,6.67,"6 years, 8 months",Josh,,Harder,,Josh,,Harder,,,,,,"Turlock, Stanislaus County, Calif","graduated from Modesto Public High School, Modesto, Calif.; B.A., Stanford University, Stanford, Calif., 2008; M.B.A., Harvard University, Cambridge, Mass., 2014; M.P.P., Harvard University, Cambridge, Mass., 2014",
H001099,Mike,Haridopolos,Mike Haridopolos,3/15/70,55,"55 years, 7 months",1/3/25,8,0.67,8 months,Mike,,Haridopolos,,Mike,,Haridopolos,,,,,,"Huntington, Suffolk County, N.Y","graduated from Garden City High School, Garden City, N.Y., 1988; B.A., Stetson University, DeLand, Fla., 1992; M.A., University of Arkansas, Fayetteville, Ark., 1993; faculty member, Brevard Community College (now Eastern Florida State College), Melbourne, Fla.; faculty member, University of Florida, Gainesville, Fla., 2008-2014",
H001101,Pat,Harrigan,Pat Harrigan,6/21/87,38,"38 years, 3 months",1/3/25,8,0.67,8 months,Pat,,Harrigan,,Pat,,Harrigan,,,,Army,Yes,"San Diego County, Calif","graduated from Francis Parker High School, San Diego Calif., 2005; B.S., West Point Military Academy, West Point, N.Y., 2009",
H001052,Andy,Harris,Andy Harris,1/25/57,68,"68 years, 8 months",1/3/11,176,14.67,"14 years, 8 months",Andy,,Harris,,Andy,,Harris,,,,Navy Reserve,Yes,"Brooklyn, Kings County, N.Y","graduated from Regis High School, New York, N.Y., 1974; B.S., Johns Hopkins University, Baltimore, Md., 1977; M.D., Johns Hopkins University, Baltimore, Md., 1980; M.H.S., Johns Hopkins University, Baltimore, Md., 1995",
H001102,Mark,Harris,Mark Harris,4/24/66,59,"59 years, 5 months",1/3/25,8,0.67,8 months,Mark,,Harris,,Mark,,Harris,,,,,,"Winston-Salem, Forsyth County, N.C","graduated from Reynolds High School, Winston-Salem, N.C.; B.S., Appalachian State University, Boone, N.C., 1987; M. Div., Southeastern Baptist Theological Seminary, Wake Forest, N.C., 1991; D. Div., Southeastern Baptist Theological Seminary, Wake Forest, N.C., 2009",
H001086,Diana,Harshbarger,Diana Harshbarger,1/1/60,65,"65 years, 9 months",1/3/21,56,4.67,"4 years, 8 months",Diana,,Harshbarger,,Diana,,Harshbarger,Mrs.,,,,,"Kingsport, Tenn","graduated from Ketron High School, Kingsport, Tenn., 1978; attended East Tennessee State University, Johnson City, Tenn.; Pharm.D, Mercer University, Atlanta, Ga., 1987",
H001076,Maggie,Hassan,Maggie Hassan,2/27/58,67,"67 years, 7 months",1/3/17,104,8.67,"8 years, 8 months",Margaret,Wood,Hassan,Maggie,Margaret,Wood,Hassan,,,,,,"Boston, Mass","B.A., Brown University, Providence, R.I.., 1980; J.D., Northeastern University School of Law, Boston, Mass., 1985; member of the New Hampshire Advisory Committee to the Adequacy in Education and Finance Commission",
H001089,Josh,Hawley,Josh Hawley,12/31/79,45,"45 years, 9 months",1/3/19,80,6.67,"6 years, 8 months",Joshua,David,Hawley,,Joshua,David,Hawley,,,,,,"Springdale, Ark","graduated Rockhurst High School, Kansas City, Mo., 1998; B.A., history, Stanford University, 2002; J.D., Yale Law School, 2006; law clerk to Judge Michael W. McConnell, United States Court of Appeals, Tenth Circuit; law clerk to Chief Justice of the United States John Roberts; law professor, University of Missouri Law School",
H001081,Jahana,Hayes,Jahana Hayes,3/8/73,52,"52 years, 7 months",1/3/19,80,6.67,"6 years, 8 months",Jahana,,Hayes,,Jahana,,Hayes,,,,,,"Waterbury, New Haven County, Conn","A.A., Naugatuck Valley Community College, Waterbury, Conn., 2002; B.A., Southern Connecticut State University, New Haven, Conn., 2005; M.A., University of Saint Joseph, West Hartford, Conn., 2012; attended University of Bridgeport, Bridgeport, Conn., 2014; public school administrator",
H001046,Martin,Heinrich,Martin Heinrich,10/17/71,53,"53 years, 11 months",1/3/13,152,12.67,"12 years, 8 months",Martin,,Heinrich,,Martin,,Heinrich,,,,,,"Fallon, Churchill County, Nev","B. S., University of Missouri, Columbia, Mo., 1995; attended University of New Mexico, Albuquerque, N. Mex., 2001-2002",
H001082,Kevin,Hern,Kevin Hern,12/4/61,63,"63 years, 10 months",11/13/18,82,6.83,"6 years, 10 months",Kevin,,Hern,,Kevin,,Hern,,,,,,"Belton, Cass County, Mo","graduated from Dover High School, Dover, Ark., 1980; B.S. Arkansas Tech University, Russellville, Ark., 1986; M.B.A., University of Arkansas, Little Rock, Ark., 1999",
H000273,John,Hickenlooper,John Hickenlooper,2/7/52,73,"73 years, 8 months",1/3/21,56,4.67,"4 years, 8 months",John,Wright,Hickenlooper,,John,Wright,Hickenlooper,,,,,,"Narbeth, Penn","graduated The Haverford School, Haverford, Penn., 1970; B.A., English, Wesleyan University, 1974; M.S., geology, Wesleyan University, 1980",
H001077,Clay,Higgins,Clay Higgins,8/24/61,64,"64 years, 1 months",1/3/17,104,8.67,"8 years, 8 months",Clay,,Higgins,,Clay,,Higgins,,,,Army Louisiana National Guard,Yes,"New Orleans, Orleans Parish, La","graduated from Covington High School, Covington, La.; attended Louisiana State University, Baton Rouge, La., 1979-1983, 1989-1990",
H001072,French,Hill,French Hill,12/5/56,68,"68 years, 10 months",1/3/15,128,10.67,"10 years, 8 months",French,,Hill,,French,,Hill,,,,,,"Little Rock, Pulaski County, Ark","graduated from Little Rock Catholic High School, Little Rock, Ark., 1975; B.S., Vanderbilt University, Nashville, Tenn., 1979",
H001047,Jim,Himes,Jim Himes,7/5/66,59,"59 years, 3 months",1/3/09,200,16.67,"16 years, 8 months",James,A.,Himes,,James,A.,Himes,,,,,,"Lima, Peru","graduated from Hopewell Valley Central High School, Pennington, N.J.; A.B., Harvard University, Cambridge, Mass., 1988; M. Phil., Oxford University, Oxford, England, 1990",
H001091,Ashley,Hinson,Ashley Hinson,6/27/83,42,"42 years, 3 months",1/3/21,56,4.67,"4 years, 8 months",Ashley,,Hinson,,Ashley,,Hinson,Mrs.,,,,,"Des Moines, Polk County, Iowa","graduated Valley High School, West Des Moines, Iowa, 2001; B.A., University of Southern California, Los Angeles, Calif., 2004",
H001042,Mazie,Hirono,Mazie Hirono,11/3/47,77,"77 years, 11 months",1/3/13,152,12.67,"12 years, 8 months",Mazie,,Hirono,,Mazie,,Hirono,,,,,,"Fukushima, Japan","graduated from Kaimuki High School, Honolulu, Hawaii; B.A., University of Hawaii, Manoa, Hawaii, 1970; J.D., Georgetown University, Washington, D.C., 1978",
H001061,John,Hoeven,John Hoeven,3/13/57,68,"68 years, 7 months",1/3/11,176,14.67,"14 years, 8 months",John,,Hoeven,,John,,Hoeven,,,,,,"Bismarck, N.D","graduated Dartmouth College, B.A., 1979; graduated Northwestern University, M.B.A., 1981",
H001066,Steven,Horsford,Steven Horsford,4/29/73,52,"52 years, 5 months",1/3/19,80,6.67,"6 years, 8 months",Steven,,Horsford,,Steven,,Horsford,,,,,,"Las Vegas, Clark County, Nev","graduated from Clark High School, Las Vegas, Nev.; B.A., University of Nevada, Reno, Nev., 2014",
H001093,Erin,Houchin,Erin Houchin,9/24/76,49,"49 years",1/3/23,32,2.67,"2 years, 8 months",Erin,,Houchin,,Erin,,Houchin,,,,,,"Salem, Washington County, Ind","graduated from Scottsburg Senior High School, Scottsburg, Ind., 1995; B.A., Indiana University, Bloomington, Ind.; M.A., George Washington University, Washington, D.C.",
H001085,Chrissy,Houlahan,Chrissy Houlahan,6/5/67,58,"58 years, 4 months",1/3/19,80,6.67,"6 years, 8 months",Christina,,Houlahan,,Christina,,Houlahan,,,,Air Force Air Force Reserve,Yes,"Naval Air Station Patuxent River, St. Mary's County, Md","graduated from St. George's School, Middletown, R.I., 1985; B.S., Stanford University, Stanford, Calif., 1989; M.S., Massachusetts Institute of Technology, Cambridge, Mass., 1994",
H000874,Steny,Hoyer,Steny Hoyer,6/14/39,86,"86 years, 4 months",5/19/81,532,44.33,"44 years, 4 months",Steny,Hamilton,Hoyer,,Steny,Hamilton,Hoyer,,,,,,"New York City, N.Y","graduated from Suitland High School, Suitland, Md., 1957; B.S., University of Maryland, College Park, 1963; J.D., Georgetown University Law Center, Washington, D.C., 1966; member of the Maryland state board for higher education, 1978-1981",
H001094,Val,Hoyle,Val Hoyle,2/14/64,61,"61 years, 8 months",1/3/23,32,2.67,"2 years, 8 months",Val,,Hoyle,,Val,,Hoyle,,,,,,"Fairfield, Solano County, Calif","graduated from Merrimack High School, Merrimack, N.H.; attended Bunker Hill Community College, Boston, Mass.; B.A., Emmanuel College, Boston, Mass., 1992; research fellow, Wayne Morse Center for Law and Politics, University of Oregon, Eugene, Oreg.",
H001067,Richard,Hudson,Richard Hudson,11/4/71,53,"53 years, 11 months",1/3/13,152,12.67,"12 years, 8 months",Richard,,Hudson,,Richard,,Hudson,,,,,,"Franklin, Va","graduated from Myers Park High School, Charlotte, N.C., 1990; B.A., University of North Carolina, Charlotte, N.C., 1996",
H001068,Jared,Huffman,Jared Huffman,2/18/64,61,"61 years, 7 months",1/3/13,152,12.67,"12 years, 8 months",Jared,,Huffman,,Jared,,Huffman,,,,,,"Independence, Jackson County, Mo","graduated from William Chrisman High School, Independence, Mo., 1982; B.A., University of California, Santa Barbara, Calif., 1986; J.D., Boston College, Newton, Mass., 1990",
H001058,Bill,Huizenga,Bill Huizenga,1/31/69,56,"56 years, 8 months",1/3/11,176,14.67,"14 years, 8 months",Bill,,Huizenga,,Bill,,Huizenga,,,,,,"Zeeland, Ottawa County, Mich","graduated from Holland Christian High School, Holland, Mich., 1987; B.A., Calvin College, Grand Rapids, Mich., 1991",
H001095,Wesley,Hunt,Wesley Hunt,11/13/81,43,"43 years, 11 months",1/3/23,32,2.67,"2 years, 8 months",Wesley,,Hunt,,Wesley,,Hunt,,,,Army,Yes,"Houston, Harris County, Tex","graduated from St. John's School, Houston, Tex., 2000; B.S. United States Military Academy, West Point, N.Y., 2004; M.P.A., Cornell University, Ithaca, N.Y., 2015; M.B.A., Cornell University, Ithaca, N.Y., 2015; M.I.L.R., Cornell University, Ithaca, N.Y., 2016",
H001100,Jeff,Hurd,Jeff Hurd,8/15/79,46,"46 years, 2 months",1/3/25,8,0.67,8 months,Jeff,,Hurd,,Jeff,,Hurd,,,,,,"Grand Junction, Mesa County, Colo","graduated from Grand Junction High School, Grand Junction, Colo., 1997; B.A., University of Notre Dame, Notre Dame, Ind., 2001; J.D., University of Denver, Denver Colo., 2008; L.L.M., Columbia University, New York, N.Y., 2010; law clerk, United States Court of Appeals, Tenth Circuit",
H001104,Jon,Husted,Jon Husted,8/25/67,58,"58 years, 1 months",1/21/25,8,0.67,8 months,Jon,,Husted,,Jon,,Husted,,,,,,"Royal Oak, Mich","graduated Montpelier High School, Montpelier, Ohio, 1985; B.A., education, University of Dayton, 1989; M.A., communications, University of Dayton, 1992",
H001079,Cindy,Hyde-Smith,Cindy Hyde-Smith,5/10/59,66,"66 years, 5 months",4/9/18,89,7.42,"7 years, 5 months",Cindy,,Hyde-Smith,,Cindy,,Hyde-Smith,,,,,,"Brookhaven, Miss","graduated Copiah-Lincoln Community College; B.A., University of Southern Mississippi, 1981",
B001323,Nick Begich,III,Nick Begich III,10/27/77,47,"47 years, 11 months",1/3/25,8,0.67,8 months,Nicholas,J.,Begich,,Nicholas,J.,Begich,,III,,,,"Anchorage, Alaska","graduated from The Master's Academy, Oviedo, Fla., 1995; B.B.A., Baylor University, Waco, Tex., 1999; M.B.A., Indiana University, Bloomington, Ind., 2002",
I000056,Darrell,Issa,Darrell Issa,11/1/53,71,"71 years, 11 months",1/3/21,56,4.67,"4 years, 8 months",Darrell,,Issa,,Darrell,,Issa,,,,Army,Yes,"Cleveland, Cuyahoga County, Ohio","B.A., Siena Heights College, Adrian, Mich., 1976",
I000058,Glenn,Ivey,Glenn Ivey,2/27/61,64,"64 years, 7 months",1/3/23,32,2.67,"2 years, 8 months",Glenn,,Ivey,,Glenn,,Ivey,,,,,,"Chelsea, Suffolk County, Mass","graduated from Gar-Field High School, Woodbridge, Va., 1979; A.B., Princeton University, Princeton, N.J., 1983; J.D., Harvard University, Cambridge, Mass., 1986",
J000311,Brian,Jack,Brian Jack,2/17/88,37,"37 years, 7 months",1/3/25,8,0.67,8 months,Brian,,Jack,,Brian,,Jack,,,,,,Georgia,"graduated from Woodward Academy, College Park, Ga.; B.A., Pepperdine University, Malibu, Calif., 2010",
J000309,Jonathan,Jackson,Jonathan Jackson,1/7/66,59,"59 years, 9 months",1/3/23,32,2.67,"2 years, 8 months",Jonathan,,Jackson,,Jonathan,,Jackson,,,,,,"Chicago, Cook County, Ill","graduated from Whitney M. Young Magnet High School, Chicago, Ill., 1984; B.S. North Carolina Agricultural and Technical University, Greensboro, NC, 1988; M.B.A., Northwestern University, Evanston, Ill., 1991; professor, City Colleges of Chicago, Kennedy-King College, 2011-2013; professor, Chicago State University, 2013-2015",
J000304,Ronny,Jackson,Ronny Jackson,5/4/67,58,"58 years, 5 months",1/3/21,56,4.67,"4 years, 8 months",Ronny,,Jackson,,Ronny,,Jackson,Mr.,,,Navy Navy Reserve,Yes,"Levelland, Hockley County, Tex","graduated from Levelland High School, Levelland, Tex., 1985; A.S., South Plains College, Levelland, Tex., 1988; B.S., Texas Agricultural and Mechanical University, Galveston, Tex., 1991; M.D., University of Texas Medical Branch, Galveston, Tex., 1995",
J000305,Sara,Jacobs,Sara Jacobs,2/1/89,36,"36 years, 8 months",1/3/21,56,4.67,"4 years, 8 months",Sara,,Jacobs,,Sara,,Jacobs,Ms.,,,,,"San Diego, San Diego County, Calif","graduated from Torrey Pines High School, San Diego, Calif.; B.A., Columbia University, New York, N.Y., 2011; M.I.A., Columbia University, New York, N.Y., 2012",
J000307,John,James,John James,6/8/81,44,"44 years, 4 months",1/3/23,32,2.67,"2 years, 8 months",John,,James,,John,,James,,,,Army,Yes,"Southfield, Oakland County, Mich","graduated from Brother Rice High School, Bloomfield Township, Mich., 1999; B.S., United States Military Academy, West Point, N.Y., 2004; M.P.A., Pennsylvania State University, State College, Pa., 2014; M.B.A., University of Michigan, Ann Arbor, Mich., 2015",
J000298,Pramila,Jayapal,Pramila Jayapal,9/21/65,60,"60 years",1/3/17,104,8.67,"8 years, 8 months",Pramila,,Jayapal,,Pramila,,Jayapal,,,,,,"Chennai, Tamil Nadu, India","A.B., Georgetown University, Washington, D.C., 1986; M.B.A., Northwestern University, Evanston, Ill., 1990",
J000294,Hakeem,Jeffries,Hakeem Jeffries,8/4/70,55,"55 years, 2 months",1/3/13,152,12.67,"12 years, 8 months",Hakeem,,Jeffries,,Hakeem,,Jeffries,,,,,,"Brooklyn, Kings County, N.Y","B.A., Binghamton University, Vestal, N.Y., 1992; M.P.P., Georgetown University, Washington, D.C., 1994; J.D., New York University, New York, N.Y., 1997; law clerk, United States District Court for the Southern District of New York, 1997-1998",
J000293,Ron,Johnson,Ron Johnson,4/8/55,70,"70 years, 6 months",1/3/11,176,14.67,"14 years, 8 months",Ron,,Johnson,,Ron,,Johnson,,,,,,"Mankato, Minn","graduated University of Minnesota, B.S., 1977; studied business administration, University of Minnesota, 1977-1979",
J000288,Hank,Johnson,Hank Johnson,10/2/54,70,"71 years",1/3/07,224,18.67,"18 years, 8 months",Hank,,Johnson,,Hank,,Johnson,,,,,,"Washington, D.C","B.A., Clark College (Clark Atlanta University), Atlanta, Ga., 1976; J.D., Thurgood Marshall School of Law, Texas Southern University, Houston, Tex., 1979",
J000299,Mike,Johnson,Mike Johnson,1/30/72,53,"53 years, 8 months",1/3/17,104,8.67,"8 years, 8 months",Mike,,Johnson,,Mike,,Johnson,,,,,,"Shreveport, Caddo Parish, La","graduated from Captain Shreve High School, Shreveport, La., 1990; B.S., Louisiana State University, Baton Rouge, La., 1995; J.D., Louisiana State University, Baton Rouge, La., 1998",
J000301,Dusty,Johnson,Dusty Johnson,9/30/76,48,"49 years",1/3/19,80,6.67,"6 years, 8 months",Dustin,,Johnson,Dusty,Dustin,,Johnson,,,,,,"Pierre, Hughes County, S.Dak","graduated from T.F. Riggs High School, Pierre, S.Dak., 1995; B.A., University of South Dakota, Vermillion, S.Dak., 1999; M.P.A., University of Kansas, Lawrence, Kans., 2002",
J000310,Julie,Johnson,Julie Johnson,5/2/66,59,"59 years, 5 months",1/3/25,8,0.67,8 months,Julie,,Johnson,,Julie,,Johnson,,,,,,"Kansas City, Wyandotte County, Kans","graduated from Auburn High School, Auburn, Ala., 1984; B.A., University of Texas at Austin, Austin, Tex., 1987; J.D., University of Houston, Houston Tex., 1991",
J000289,Jim,Jordan,Jim Jordan,2/17/64,61,"61 years, 7 months",1/3/07,224,18.67,"18 years, 8 months",Jim,,Jordan,,Jim,,Jordan,,,,,,"Troy, Miami County, Ohio","graduated from Graham High School, St. Paris, Ohio, 1982; B.S., University of Wisconsin, Madison, Wis., 1986; M.A., The Ohio State University, Columbus, Ohio, 1991; J.D., Capital University, Columbus, Ohio, 2001; coach, Ohio State University",
J000295,David,Joyce,David Joyce,3/17/57,68,"68 years, 6 months",1/3/13,152,12.67,"12 years, 8 months",David,,Joyce,,David,,Joyce,,,,,,"Cleveland, Cuyahoga County, Ohio","graduated from West Geauga High School, Chesterland, Ohio, 1975; B.S., University of Dayton, Dayton, Ohio, 1979; J.D., University of Dayton, Dayton, Ohio, 1982",
J000302,John,Joyce,John Joyce,2/8/57,68,"68 years, 8 months",1/3/19,80,6.67,"6 years, 8 months",John,,Joyce,,John,,Joyce,,,,,,"Altoona, Blair County, Pa","graduated from Bishop Guilfoyle High School, Altoona, Pa., 1975; attended Pennsylvania State University, Altoona, Pa., 1975-1977; B.S., Pennsylvania State University, University Park, Pa., 1979; M.D., Temple University, Philadelphia, Pa., 1983",
K000398,Thomas Kean,Jr.,Thomas Kean Jr.,9/5/68,57,"57 years, 1 months",1/3/23,32,2.67,"2 years, 8 months",Thomas,,Kean,,Thomas,,Kean,,,,,,"Livingston, Essex County, N.J","graduated from the Pingry School, Martinsville, N.J., 1986; A.B., Dartmouth College, Hanover, N.H., 1990; M.A.L.D., Tufts University, Medford, Mass., 1997; instructor, Tufts University, Medford, Mass.",
J000312,Jim,Justice,Jim Justice,4/27/51,74,"74 years, 5 months",1/14/25,8,0.67,8 months,James,Conley,Justice,,James,Conley,Justice,,II,,,,"Charleston, W.Va","graduated Woodrow Wilson High School, Beckley, W.Va., 1969; B.A., Marshall University, Huntington, W.Va., 1974; M.B.A., Marshall University, Huntington, W.Va., 1976",
K000384,Tim,Kaine,Tim Kaine,2/26/58,67,"67 years, 7 months",1/3/13,152,12.67,"12 years, 8 months",Timothy,Michael,Kaine,Tim,Timothy,Michael,Kaine,,,,,,"St. Paul, Minn","graduated University of Missouri, B.A., 1979; graduated Harvard University, J.D., 1983",
K000400,Sydney,Kamlager-Dove,Sydney Kamlager-Dove,7/20/72,53,"53 years, 2 months",1/3/23,32,2.67,"2 years, 8 months",Sydney,,Kamlager-Dove,,Sydney,,Kamlager-Dove,,,,,,"Chicago, Cook County, Ill","graduated from Saint Ignatius College Preparatory School, Chicago, Ill.; attended Compton College, Compton, Calif.; B.A., University of Southern California, Los Angeles, Calif., 1994; M.A., Carnegie Mellon University, Pittsburgh, Pa., 1996",
